supplier_id,supplier_name,region_wood,wood_species,density_kg_m3,hardness_n,moisture_content_pct,carbon_storage_kg_co2e_per_kg,recyclability_rate_pct,price_per_m3_euros,quality_grade,certification,origin,updated_at,contact_email
SUP001,Scierie Provençale,Normandie,if,824,6330,23.4,0.96,66,2324.12,A,FSC,,31/01/2024,contact@scierieprovençale.fr
SUP002,Bois Noble SARL,aquitaine,Hêtre,1133,,10.3,3.18,28,833.13,A,SFC,Austria,17-10-2024,contact@boisnoblesarl.fr
SUP003,Scierie Provençale,Provence,Ébène,703,5719,13.7,1.61,47,454.01,Standard,fsc,,16/08/2025,contact@scierieprovençale.fr
S4,Forêt & Tradition,bourgogne,fir,992,3085,17.7,2.96,146,1594.39,C,PEFC-70%,Allemagne,10/09/2023,contact@forêtettradition.fr
SUP005,Ateliers Boisés,languedoc,Épicéa,515,5907,21.8,3.1,high,1937.64,B,FSC-100%,Espagne,2025-07-28T00:00:00Z,contact@ateliersboisés.fr
SUP006,Scierie Martin,Bourgogne,oak,571,3321,19.0,0.36,88,1129.71,A+,pefc,Italy,08-12-2025,contact@scieriemartin.fr
SUP007,Ateliers Boisés,PROVENCE,mahogany,,4248,9.9,0.95,28,1954.03,C,FSC,,03/26/2025,contact@ateliersboisés.fr
S8,Bois & Cie,BOURGOGNE,cherry,-21,4530,16.9,4.03,83,2196.63,Premium,fsc,France,2025-09-09T00:00:00Z,contact@boisetcie.fr
SUP009,Menuiserie Bretonne,Auvrgne,ash,508,2987,16.4,2.23,65,1701.31,C,pefc,Italie,2024-12-23T00:00:00Z,contact@menuiseriebretonne.fr
S10,Forêt & Tradition,Picardie,Tilleul,1158,6706,23.5,2.52,38,1509.34,Basic,FFCS,Norvège,2024-05-05T00:00:00Z,contact@forêtettradition.fr
SUP011,Forêt & Tradition,AUVERGNE,DOUGLAS,988,5368,60.0,1.56,29,1871.7,Standard,FSC,,29-05-2023,contact@forêtettradition.fr
SUP012,Scierie des Vosges,Picardie,ebony,854,4866,12.2,0.6,94,662.88,C,pefc,Allemagne,08/04/2023,contact@scieriedesvosges.fr
SUP013,Scierie Provençale,PICARDIE,épicéa,954,hard,65.2,2.33,élevé,1514.6,C,FFCS,Espagne,04/05/2025,contact@scierieprovençale.fr
S14,Chênes & Érables,Franche-Comté,CHESTNUT,867,3618,16.6,1.38,91,412.96,A,pefc,Italy,2025-11-10,contact@chênesetérables.fr
SUP015,Forêt & Tradition,Limousin,douglas,961,4343,14.7,1.03,81,1395.7,A+,pefc,Norvège,2023-01-22,contact@forêtettradition.fr
S16,Forestiers Unis,champagne,oak,551,,21.6,3.99,24,926.48,C,SFC,Spain,01/30/2023,contact@forestiersunis.fr
SUP017,Chênes & Érables,AUVERGNE,Mahogany,364,,23.0,4.06,élevé,1416.7,C,FFCS,Germany,04/11/2025,contact@chênesetérables.fr
SUP018,Bois du Sud,Limousn,Acajou,796,3219,17.6,2.47,73,,Standard,fsc,Frace,12/15/2024,contact@boisdusud.fr
SUP019,Bois d'Alsace,LIMOUSIN,pine,1129,4764,8.7,2.71,61,790.97,C,SFC,Italie,28-09-2024,contact@boisd'alsace.fr
SUP020,Bois Noble SARL,Lorrraine,acajou,577,5227,12.0,1.98,77,1993.57,Standard,PEFC,Italie,2023-06-27T00:00:00Z,contact@boisnoblesarl.fr
SUP021,Forêt Française,Corse,CHESTNUT,990,4741,21.9,1.44,56,1539.15,Standard,PEFC-70%,Austria,2025-05-04T00:00:00Z,contact@forêtfrançaise.fr
S22,Scierie des Vosges,Normandie,ACAJOU,735,4814,24.5,3.02,99,1076.08,B,PEFC-70%,Allemagne,14/03/2025,contact@scieriedesvosges.fr
SUP023,Scierie des Vosges,PROVENCE,ébène,849,,15.8,0.99,38,2310.93,Standard,FFCS,Italy,2023-12-09,contact@scieriedesvosges.fr
SUP024,Forêt Française,Lorrraine,WALNUT,718,2436,15.9,3.3,100,501.12,Premium,fsc,Norway,27/10/2025,contact@forêtfrançaise.fr
S25,Forêt Française,FRANCHE-COMTÉ,Linden,404,7754,9.5,1.95,46,1872.17,Basic,PEFC-70%,Allemagne,04/08/2023,contact@forêtfrançaise.fr
SUP026,Scierie Provençale,Bourgogne,linden,596,2871,24.5,3.8,95,2221.09,A-,FSC,Espagne,14/04/2024,contact@scierieprovençale.fr
SUP027,Chênes & Érables,auvergne,Ébène,651,très dur,19.3,1.26,94,2396.36,A,FFCS,Austria,2025-10-07T00:00:00Z,contact@chênesetérables.fr
SUP028,Scierie Martin,AUVERGNE,teak,302,2264,14.2,1.55,89,1913.46,Standard,FSC-100%,Italie,2024-12-23T00:00:00Z,contact@scieriemartin.fr
